song,artist,year,type,gender,duration,language,tabber,source,date,difficulty,specialbooks
Cruel Summer,Taylor Swift,2019,Person,female,00:02:58,english,Adelaide,new,20240702,2.531,usa
Crush,Jennifer Paige,1998,Person,female,00:03:04,english,Manuel,new,,3.478,
Danger! High Voltage (Soulchild radio mix),Electric 6,2003,Group,male,00:03:20,english,Manuel,new,,,
Dearg Doom,Horslips,2009,Group,male,00:02:54,english,Manuel,new,,,
Demons,Imagine Dragons,2013,Group,male,00:02:54,english,Jacques,new,20221101,2.931,halloween
Dirty Old Town,The Pogues,1985,Group,male,00:03:45,english,Manuel,old,20220301,1.918,"regular,valentines,paddys"
Do They Know It's Christmas?,Band Aid,1984,Group,ensemble,00:03:34,english,Manuel,new,20211214,2.428,xmas
Dog Days Are Over,Florence + The Machine,2008,Group,female,00:04:10,english,Adelaide,new,20230926,1.814,"regular,womens"
Don't Be a Dick at Christmas,Seán Carabini,2018,Person,male,00:03:46,english,Manuel,off,20211207,2.703,xmas
Don't Speak,No Doubt,1995,Group,female,00:04:16,english,Manuel,new,,,
Don't Stop Me Now,Queen,1978,Group,male,00:03:29,english,Manuel,old,20211005,3.052,"regular,pride"
Don't Worry Be Happy,Bobby McFerrin,1988,Person,male,00:04:38,english,Manuel,old,,,
Don't You (Forget About Me),Simple Minds,1985,Group,male,00:04:30,english,Manuel,new,20220510,2.138,"regular,valentines"
Don't You Want Me,The Human League,1981,Group,duet,00:03:36,english,Manuel,old,,,
Dream A Little Dream Of Me,The Mamas & The Papas,1968,Group,female,00:03:10,english,Bernard,new,20240702,3.69,us
Dreams,The Cranberries,1992,Group,female,00:04:32,english,Manuel,off,20220222,2.369,"regular,valentines,womens,paddys"
Driving Home for Christmas,Chris Rea,1986,Person,male,00:03:56,english,Manuel,new,20221206,3.676,xmas
Enter Sandman,Metallica,1991,Group,male,00:05:06,english,Manuel,new,20211102,,halloween
Every Breath You Take,The Police,1983,Group,male,00:03:34,english,Manuel,new,20221101,2.67,"halloween,temp"
