song,artist,year,type,gender,duration,language,tabber,source,date,difficulty,specialbooks
Why Don't You Get A Job,The Offspring,1998,Group,male,00:02:50,english,Manuel,new,20220426,1.666,regular
Wind of Change,Scorpions,1990,Group,male,00:05:02,english,Manuel,old,,,
With Or Without You,U2,1987,Group,male,00:04:40,english,Manuel,off,20220308,1.765,"regular,valentines,paddys"
Wrecking Ball,Miley Cyrus,2013,Person,female,00:03:32,english,Manuel,new,20220621,2.597,"regular,womens,pride"
You Gotta Be,Des'ree,1994,Person,female,00:04:10,english,Manuel,new,,,
You Never Can Tell,Chuck Berry,1964,Person,male,00:02:30,english,Manuel,new,,,
You Oughta Know,Alanis Morissette,1995,Person,female,00:04:06,english,Manuel,new,20230620,2.818,pride
You're So Vain,Carly Simon,1972,Person,female,00:04:10,english,Manuel,new,20220621,2.035,"regular,womens"
You're The One That I Want,"John Travolta, Olivia Newton-John",1978,Person,duet,00:02:42,english,Manuel,old,20220809,2.327,"regular,valentines"
You've Got The Love,Florence + The Machine,2009,Group,female,00:02:38,english,Adelaide,old,20220503,2.942,"regular,valentines,womens,pride"
Zombie,The Cranberries,1994,Group,female,00:05:06,english,Manuel,new,20211123,2.034,"regular,womens,paddys"
Ça Plane Pour Moi,Plastic Bertrand,1977,Person,male,00:03:08,french,Bernard,new,20220712,2.004,bastille
